,id,tstamp,srccomputer,computerresolved,redteam
188,530877,766935,C1823,C2941,
189,530878,766935,C1823,C3017,
190,530879,766935,C1823,C3077,
191,530880,766935,C1823,C3265,
192,530881,766935,C1823,C4129,
193,530882,766935,C1823,C4204,
194,530883,766935,C1823,C4219,
195,530884,766935,C1823,C4241,
196,530885,766935,C1823,C5143,
197,530886,766936,C11768,C529,
198,530887,766936,C11768,C625,
199,530888,766937,C11768,C625,
200,530889,766937,C1327,C1707,
201,530890,766938,C2769,C1443,
202,530891,766939,C13795,C5030,
203,530892,766939,C4297,C5030,
204,530893,766941,C1823,C1152,
205,530894,766941,C1823,C1741,
206,530895,766941,C1823,C1790,
207,530896,766941,C1823,C1870,
208,530897,766941,C1823,C2913,
209,530898,766943,C18228,C467,
210,530899,766943,C8147,C1707,
211,530900,766944,C12766,C5030,
212,530901,766947,C1823,C3434,
213,530902,766949,C22442,C359,
214,530903,766949,C3380,C22841,
215,530904,766950,C1823,C1848,
216,530905,766950,C1823,C3428,
217,530906,766950,C1823,C3430,
218,530907,766952,C4254,C231,
219,530908,766953,C2668,C706,
220,530909,766957,C13290,C706,
221,530910,766958,C11768,C467,
222,530911,766961,C2320,C467,
223,530912,766963,C1823,C3305,
224,530913,766964,C12427,C5030,
225,530914,766966,C1823,C3544,
226,530915,766966,C5785,C467,
227,530916,766967,C5785,C528,
228,530917,766968,C5785,C467,
229,530918,766969,C5785,C467,
230,530919,766969,C5785,C706,
231,530920,766970,C5785,C467,
232,530921,766970,C5785,C706,
233,530922,766971,C1823,C2489,
234,530923,766971,C1823,C2631,
235,530924,766971,C1823,C3755,
236,530925,766971,C1823,C4147,
237,530926,766971,C5785,C467,
238,530927,766972,C1692,C706,
239,530928,766972,C5785,C467,
240,530929,766976,C2492,C457,
241,530930,766978,C1823,C1819,
242,530931,766978,C1823,C540,
243,530932,766979,C18250,C2109,
244,530933,766980,C18250,C2109,
245,530934,766981,C5337,C706,
246,530935,766984,C3165,C529,
247,530936,766984,C3165,C706,
248,530937,766985,C1823,C25661,
249,530938,766987,C484,C706,
250,530939,766988,C1823,C1874,
251,530940,766988,C1823,C1891,
252,530941,766988,C1823,C1944,
253,530942,766988,C1823,C3056,
254,530943,766989,C18228,C467,
255,530944,766989,C1823,C2084,
256,530945,766989,C1823,C245,
257,530946,766989,C1823,C779,
258,530947,766990,C3122,C1685,
259,530948,766991,C3380,C22841,
260,530949,766995,C421,C706,
261,530950,766997,C1823,C5131,
262,530951,766998,C5763,C3953,
263,530952,766999,C22052,C5136,
264,530953,767000,C17552,C1707,
265,530954,767001,C17881,C1685,
266,530955,767001,C17881,C1707,
267,530956,767001,C1823,C25661,
268,530957,767001,C1823,C4828,
269,530958,767003,C18250,C2109,
270,530959,767005,C1823,C1785,
271,530960,767010,C14657,C1707,
272,530961,767010,C1823,C3413,
273,530962,767011,C3380,C22841,
274,530963,767013,C18250,C612,
275,530964,767014,C18250,C612,
276,530965,767015,C18250,C612,
277,530966,767016,C18250,C612,
278,530967,767016,C18250,C706,
279,530968,767017,C18250,C612,
280,530969,767017,C18250,C706,
281,530970,767018,C18250,C612,
282,530971,767019,C18163,C359,
283,530972,767019,C1823,C306,
284,530973,767019,C18250,C612,
285,530974,767019,C2908,C1685,
286,530975,767020,C1823,C2127,
287,530976,767020,C1823,C3287,
288,530977,767020,C18250,C612,
289,530978,767023,C1823,C2890,
290,530979,767023,C22263,C1763,
291,530980,767024,C13243,C1685,
292,530981,767024,C13243,C1707,
293,530982,767025,C1823,C716,
294,530983,767025,C3380,C22841,
295,530984,767026,C1327,C612,
296,530985,767027,C1327,C612,
297,530986,767028,C14984,C5030,
298,530987,767029,C1327,C612,
299,530988,767033,C1327,C612,
300,530989,767033,C4693,C706,
301,530990,767035,C1823,C1770,
302,530991,767035,C1823,C3079,
303,530992,767035,C1823,C4011,
304,530993,767035,C1823,C4066,
305,530994,767035,C1823,C4706,
306,530995,767035,C1823,C4849,
307,530996,767036,C1823,C4056,
308,530997,767036,C2492,C457,
309,530998,767037,C1823,C1786,
310,530999,767037,C1823,C2463,
311,531000,767038,C13968,C706,
312,531001,767040,C21405,C1685,
313,531002,767041,C1823,C2359,
314,531003,767041,C1823,C2841,
315,531004,767043,C3451,C1685,
316,531005,767044,C13539,C706,
317,531006,767044,C14907,C1707,
318,531007,767045,C3021,C1685,
319,531008,767052,C14907,C1707,
320,531009,767052,C2769,C625,
321,531010,767055,C1823,C1757,
322,531011,767055,C1823,C1880,
323,531012,767055,C1823,C2579,
324,531013,767055,C1823,C26873,
325,531014,767055,C1823,C3657,
326,531015,767055,C1823,C3818,
327,531016,767055,C1823,C3986,
328,531017,767055,C1823,C4053,
329,531018,767055,C1823,C4195,
330,531019,767055,C1823,C4301,
331,531020,767055,C1823,C4370,
332,531021,767055,C1823,C4401,
333,531022,767055,C1823,C4605,
334,531023,767055,C1823,C4719,
335,531024,767057,C3715,C529,
336,531025,767057,C3715,C612,
337,531026,767057,C3715,C625,
338,531027,767058,C3715,C2109,
339,531028,767059,C3715,C2109,
340,531029,767059,C3715,C586,
341,531030,767062,C1300,C5030,
342,531031,767062,C461,C457,
343,531032,767063,C461,C586,
344,531033,767064,C14856,C1707,
345,531034,767065,C461,C2109,
346,531035,767066,C1823,C706,
347,531036,767066,C461,C467,
348,531037,767067,C1823,C921,
349,531038,767070,C1823,C1732,
350,531039,767070,C1823,C3015,
351,531040,767070,C992,C5030,
352,531041,767071,C1823,C1952,
353,531042,767073,C1823,C72,
354,531043,767073,C3380,C22841,
355,531044,767074,C1435,C1707,
356,531045,767074,C22796,C5588,
357,531046,767075,C709,C1685,
358,531047,767076,C5045,C5030,
359,531048,767080,C3715,C528,
360,531049,767081,C1191,C456,
361,531050,767081,C18228,C467,
362,531051,767083,C1823,C2186,
363,531052,767087,C18716,C706,
364,531053,767094,C19622,C5030,
365,531054,767095,C421,C457,
366,531055,767096,C2492,C457,
367,531056,767101,C2320,C4222,
368,531057,767102,C1191,C419,
369,531058,767102,C14777,C1685,
370,531059,767104,C12406,C1707,
371,531060,767104,C14053,C5030,
372,531061,767105,C3143,C1685,
373,531062,767106,C7298,C706,
374,531063,767108,C18250,C706,
375,531064,767108,C3715,C467,
376,531065,767109,C18250,C706,
377,531066,767110,C18700,C706,
378,531067,767110,C22052,C5588,
379,531068,767112,C1823,C2890,
380,531069,767112,C1823,C72,
381,531070,767113,C3380,C22841,
382,531071,767116,C16520,C706,
383,531072,767118,C14856,C359,
384,531073,767122,C461,C529,
385,531074,767123,C461,C625,
386,531075,767125,C421,C457,
387,531076,767125,C461,C457,
388,531077,767125,C461,C586,
389,531078,767126,C2492,C457,
390,531079,767130,C10430,C706,
391,531080,767134,C4271,C706,
392,531081,767135,C3380,C22841,
393,531082,767137,C22798,C5136,
394,531083,767138,C23724,C1685,
395,531084,767138,C23724,C1707,
396,531085,767138,C3260,C1685,
397,531086,767141,C1191,C5030,
398,531087,767144,C17286,C359,
399,531088,767148,C21661,C706,
400,531089,767150,C11564,C706,
401,531090,767153,C375,C706,
402,531091,767153,C4618,C5030,
403,531092,767156,C2492,C457,
404,531093,767157,C1823,C1732,
405,531094,767161,C15160,C706,
406,531095,767161,C4653,C5030,
407,531096,767162,C2772,C1883,
408,531097,767164,C1823,C1685,
409,531098,767165,C6897,C1685,
410,531099,767169,C2464,C1685,
411,531100,767170,C20622,C706,
412,531101,767170,C5358,C706,
413,531102,767174,C3380,C22841,
414,531103,767176,C13717,C1707,
415,531104,767176,C4377,C1685,
416,531105,767178,C15556,C706,
417,531106,767184,C14122,C706,
418,531107,767186,C1823,C2359,
419,531108,767187,C1823,C1952,
420,531109,767191,C20000,C706,
421,531110,767193,C8958,C625,
422,531111,767197,C1823,C2084,
423,531112,767197,C3380,C22841,
424,531113,767200,C19393,C1707,
425,531114,767201,C1823,C245,
426,531115,767201,C1823,C779,
427,531116,767201,C5913,C706,
428,531117,767202,C17082,C1685,
429,531118,767205,C1823,C3699,
430,531119,767207,C4914,C1685,
431,531120,767208,C18345,C359,
432,531121,767208,C768,C1685,
433,531122,767211,C1823,C1747,
434,531123,767214,C23396,C1707,
435,531124,767214,C6857,C528,
436,531125,767214,C6857,C529,
437,531126,767215,C21202,C1685,
438,531127,767215,C7863,C5720,
439,531128,767216,C21202,C1685,
440,531129,767216,C2492,C457,
441,531130,767217,C22786,C1707,
442,531131,767218,C22786,C1685,
443,531132,767219,C17400,C1707,
444,531133,767219,C6857,C467,
445,531134,767221,C4653,C1707,
446,531135,767223,C10951,C706,
447,531136,767224,C5785,C528,
448,531137,767225,C902,C1685,
449,531138,767227,C14296,C706,
450,531139,767228,C15644,C5030,
451,531140,767228,C1823,C2982,
452,531141,767229,C1823,C2084,
453,531142,767229,C1823,C245,
454,531143,767229,C1823,C779,
455,531144,767231,C1823,C3740,
456,531145,767233,C19782,C2109,
457,531146,767234,C22263,C706,
458,531147,767235,C3380,C22841,
459,531148,767235,C6857,C612,
460,531149,767236,C8431,C528,
461,531150,767242,C14856,C1707,
462,531151,767243,C18250,C586,
463,531152,767249,C4291,C706,
464,531153,767250,C3906,C1685,
465,531154,767253,C354,C1685,
466,531155,767253,C5941,C1707,
467,531156,767254,C354,C1685,
468,531157,767259,C20599,C1685,
469,531158,767259,C20599,C1707,
470,531159,767259,C3380,C22841,
471,531160,767261,C18228,C1707,
472,531161,767261,C18250,C586,
473,531162,767263,C18228,C1685,
474,531163,767265,C1823,C1747,
475,531164,767267,C15394,C706,
476,531165,767270,C21300,C1685,
477,531166,767271,C18250,C2109,
478,531167,767272,C17660,C1685,
479,531168,767272,C17660,C1707,
480,531169,767272,C18250,C2109,
481,531170,767273,C2604,C5030,
482,531171,767275,C22052,C1707,
483,531172,767276,C2492,C457,
484,531173,767281,C1823,C2359,
485,531174,767281,C315,C1685,
486,531175,767285,C1823,C25661,
487,531176,767287,C1823,C3740,
488,531177,767287,C421,C5030,
489,531178,767288,C7158,C1685,
490,531179,767289,C21746,C5030,
491,531180,767291,C14907,C706,
492,531181,767291,C2584,C1685,
493,531182,767292,C6037,C706,
494,531183,767293,C8133,C1685,
495,531184,767293,C920,C1707,
496,531185,767294,C5785,C528,
497,531186,767295,C1823,C3331,
498,531187,767295,C3021,C706,
499,531188,767295,C5785,C529,
500,531189,767295,C8133,C5030,
501,531190,767296,C3380,C22841,
502,531191,767296,C5785,C467,
503,531192,767298,C14483,C706,
504,531193,767300,C5785,C2109,
505,531194,767301,C14864,C5030,
506,531195,767302,C5785,C1065,
507,531196,767303,C5785,C625,
508,531197,767304,C12393,C1685,
509,531198,767306,C20345,C231,
510,531199,767311,C2772,C625,
511,531200,767312,C16307,C1685,
512,531201,767312,C16307,C1707,
513,531202,767313,C23716,C5782,
514,531203,767314,C23716,C5782,
515,531204,767315,C1823,C72,
516,531205,767317,C3664,C1707,
517,531206,767318,C768,C706,
518,531207,767319,C22796,C5588,
519,531208,767320,C14407,C1707,
520,531209,767320,C1645,C1707,
521,531210,767321,C3380,C22841,
522,531211,767322,C3629,C1707,
523,531212,767323,C1823,C2448,
524,531213,767323,C1823,C2890,
525,531214,767324,C1823,C3331,
526,531215,767325,C18250,C586,
527,531216,767325,C3380,C22841,
528,531217,767328,C16520,C743,
529,531218,767332,C15266,C706,
530,531219,767335,C11768,C1685,
531,531220,767335,C1936,C2079,
532,531221,767336,C2492,C457,
533,531222,767338,C159,C1685,
534,531223,767339,C1823,C3739,
535,531224,767339,C18250,C5588,
536,531225,767340,C18250,C2109,
537,531226,767341,C18250,C2109,
538,531227,767341,C3668,C1685,
539,531228,767345,C1936,C2079,
540,531229,767348,C1823,C2448,
541,531230,767348,C1823,C2890,
542,531231,767348,C1823,C72,
543,531232,767350,C16839,C1685,
544,531233,767350,C8371,C1685,
545,531234,767352,C16130,C706,
546,531235,767352,C18250,C2109,
547,531236,767353,C16839,C528,
548,531237,767354,C18250,C625,
549,531238,767355,C18250,C625,
550,531239,767356,C16839,C5030,
551,531240,767357,C18250,C529,
552,531241,767357,C2032,C706,
553,531242,767358,C1823,C3140,
554,531243,767358,C18250,C2109,
555,531244,767359,C18250,C2109,
556,531245,767359,C5785,C706,
557,531246,767360,C23716,C5782,
558,531247,767361,C1823,C25661,
559,531248,767362,C894,C1685,
560,531249,767363,C23716,C5782,
561,531250,767364,C23716,C5782,
562,531251,767365,C23716,C5782,
563,531252,767366,C23716,C5782,
564,531253,767367,C23716,C5782,
565,531254,767368,C23716,C5782,
566,531255,767369,C7904,C457,
567,531256,767370,C15285,C586,
568,531257,767370,C1823,C1732,
569,531258,767370,C23716,C5782,
570,531259,767371,C14907,C5030,
571,531260,767371,C1823,C1952,
572,531261,767371,C23716,C5782,
573,531262,767371,C5782,C10293,
574,531263,767371,C5782,C11097,
575,531264,767371,C5782,C18250,
576,531265,767372,C23716,C5782,
577,531266,767373,C1823,C72,
578,531267,767373,C23716,C5782,
579,531268,767374,C23716,C5782,
580,531269,767375,C23716,C5782,
581,531270,767375,C5953,C1707,
582,531271,767375,C7904,C1875,
583,531272,767376,C23716,C5782,
584,531273,767377,C23716,C5782,
585,531274,767380,C23716,C5782,
586,531275,767383,C12177,C12177,
587,531276,767383,C3380,C22841,
588,531277,767388,C12360,C5030,
589,531278,767388,C2459,C706,
590,531279,767390,C1515,C706,
591,531280,767390,C16839,C625,
592,531281,767391,C17338,C706,
593,531282,767391,C21235,C1707,
594,531283,767393,C6857,C586,
595,531284,767396,C2492,C457,
596,531285,767397,C1823,C1732,
597,531286,767397,C2229,C1685,
598,531287,767397,C23716,C5782,
599,531288,767397,C461,C457,
600,531289,767398,C768,C1065,
601,531290,767399,C1357,C1685,
602,531291,767399,C18074,C706,
603,531292,767399,C23716,C5782,
604,531293,767399,C768,C1065,
605,531294,767401,C14122,C1685,
606,531295,767401,C22479,C22479,
607,531296,767401,C23716,C5782,
608,531297,767404,C13457,C1685,
609,531298,767404,C18250,C586,
610,531299,767404,C23716,C5782,
611,531300,767405,C1823,C1732,
612,531301,767405,C21661,C1685,
613,531302,767406,C2668,C1685,
614,531303,767409,C3484,C706,
615,531304,767409,C8914,C5030,
616,531305,767410,C12318,C1685,
617,531306,767410,C21179,C706,
618,531307,767413,C17286,C1685,
619,531308,767415,C1823,C3140,
620,531309,767417,C11996,C5030,
621,531310,767418,C21782,C1707,
622,531311,767418,C3380,C22841,
623,531312,767418,C8038,C1065,
624,531313,767418,C8038,C1707,
625,531314,767419,C15365,C5030,
626,531315,767420,C12172,C1065,
627,531316,767420,C461,C1707,
628,531317,767421,C15806,C586,
629,531318,767421,C1823,C3739,
630,531319,767421,C461,C1707,
631,531320,767422,C14619,C467,
632,531321,767423,C461,C1707,
633,531322,767423,C768,C586,
634,531323,767424,C461,C1707,
635,531324,767426,C23716,C5782,
636,531325,767426,C2492,C457,
637,531326,767427,C1823,C1952,
638,531327,767429,C12257,C359,
639,531328,767429,C23716,C5782,
640,531329,767430,C23716,C5782,
641,531330,767430,C3457,C5030,
642,531331,767432,C12318,C706,
643,531332,767432,C15180,C706,
644,531333,767433,C23716,C5782,
645,531334,767434,C23716,C5782,
646,531335,767436,C23716,C5782,
647,531336,767436,C992,C706,
648,531337,767437,C3026,C921,
649,531338,767441,C14040,C706,
650,531339,767441,C17065,C1685,
651,531340,767441,C17065,C1707,
652,531341,767442,C22024,C1685,
653,531342,767444,C16096,C1208,
654,531343,767445,C2584,C706,
655,531344,767445,C3380,C22841,
656,531345,767446,C14557,C5030,
657,531346,767447,C14993,C5030,
658,531347,767447,C161,C1685,
659,531348,767449,C5785,C586,
660,531349,767452,C23716,C5782,
661,531350,767453,C768,C612,
662,531351,767454,C23716,C5782,
663,531352,767456,C23716,C5782,
664,531353,767456,C2492,C457,
665,531354,767457,C17407,C5030,
666,531355,767458,C1936,C5136,
667,531356,767458,C23716,C5782,
668,531357,767460,C17552,C706,
669,531358,767460,C18289,C528,
670,531359,767460,C23716,C5782,
671,531360,767460,C461,C457,
672,531361,767461,C461,C467,
673,531362,767463,C461,C1065,
674,531363,767463,C461,C586,
675,531364,767465,C14619,C2109,
676,531365,767465,C17055,C5030,
677,531366,767466,C14619,C457,
678,531367,767466,C14619,C625,
679,531368,767466,C902,C1685,
680,531369,767467,C14619,C1065,
681,531370,767468,C1823,C72,
682,531371,767468,C5381,C1065,
683,531372,767468,C5381,C1707,
684,531373,767468,C5381,C625,
685,531374,767470,C12172,C2109,
686,531375,767472,C7863,C706,
687,531376,767476,C1653,C1200,
688,531377,767477,C1714,C5030,
689,531378,767477,C21120,C1685,
690,531379,767477,C21120,C1707,
691,531380,767477,C8371,C706,
692,531381,767478,C2871,C706,
693,531382,767479,C3380,C22841,
694,531383,767480,C12172,C1707,
695,531384,767481,C12172,C1707,
696,531385,767482,C20165,C1685,
697,531386,767482,C20165,C1707,
698,531387,767486,C1823,C2359,
699,531388,767487,C13795,C1685,
700,531389,767492,C17536,C5030,
701,531390,767497,C1823,C2084,
702,531391,767498,C1453,C1685,
703,531392,767501,C1823,C245,
704,531393,767501,C1823,C779,
705,531394,767505,C920,C529,
706,531395,767506,C12172,C5030,
707,531396,767507,C3380,C22841,
708,531397,767508,C2760,C5030,
709,531398,767511,C2021,C706,
710,531399,767512,C920,C586,
711,531400,767513,C2496,C586,
712,531401,767516,C2492,C457,
713,531402,767518,C20285,C1685,
714,531403,767518,C768,C1065,
715,531404,767520,C7489,C706,
716,531405,767521,C2760,C1685,
717,531406,767521,C657,C229,
718,531407,767522,C461,C457,
719,531408,767523,C461,C625,
720,531409,767523,C894,C706,
721,531410,767524,C7489,C706,
722,531411,767525,C18250,C2109,
723,531412,767525,C461,C586,
724,531413,767526,C18250,C2109,
725,531414,767526,C461,C467,
726,531415,767527,C18250,C2109,
727,531416,767528,C18250,C2109,
728,531417,767530,C14619,C612,
729,531418,767533,C2827,C1685,
730,531419,767534,C14856,C5030,
731,531420,767536,C11996,C1685,
732,531421,767536,C657,C1685,
733,531422,767539,C902,C5030,
734,531423,767540,C3380,C22841,
735,531424,767540,C7160,C706,
736,531425,767541,C23640,C1707,
737,531426,767543,C768,C586,
738,531427,767548,C2798,C1707,
739,531428,767552,C1142,C1685,
740,531429,767553,C1191,C1707,
741,531430,767556,C15114,C1707,
742,531431,767557,C18250,C2109,
743,531432,767557,C26743,C26743,
744,531433,767559,C21179,C1685,
745,531434,767559,C21524,C1685,
746,531435,767560,C19622,C1707,
747,531436,767560,C22796,C1707,
748,531437,767562,C15733,C1685,
749,531438,767563,C843,C1685,
750,531439,767564,C15403,C706,
751,531440,767565,C22796,C5588,
752,531441,767565,C24710,C1685,
753,531442,767565,C4722,C706,
754,531443,767566,C5785,C1685,
755,531444,767566,C6857,C1707,
756,531445,767567,C18345,C1685,
757,531446,767567,C18345,C1707,
758,531447,767567,C5785,C1707,
759,531448,767568,C5828,C1707,
760,531449,767569,C3380,C22841,
761,531450,767569,C5828,C1685,
762,531451,767570,C20097,C1685,
763,531452,767573,C14425,C1685,
764,531453,767573,C14425,C1707,
765,531454,767573,C19308,C1685,
766,531455,767573,C194,C1685,
767,531456,767573,C2320,C467,
768,531457,767573,C768,C612,
769,531458,767574,C4233,C1685,
770,531459,767575,C15207,C1707,
771,531460,767575,C1748,C5030,
772,531461,767576,C2492,C457,
773,531462,767585,C11004,C1707,
774,531463,767587,C3714,C706,
775,531464,767593,C21428,C1685,
776,531465,767595,C2321,C1685,
777,531466,767597,C13316,C1685,
778,531467,767597,C15450,C359,
779,531468,767601,C15445,C1685,
780,531469,767601,C3380,C22841,
781,531470,767602,C15445,C1685,
782,531471,767603,C6758,C1685,
783,531472,767606,C16811,C1707,
784,531473,767608,C14804,C706,
785,531474,767610,C1804,C5030,
786,531475,767614,C992,C1707,
787,531476,767616,C18250,C2109,
788,531477,767617,C12423,C5030,
789,531478,767628,C16957,C1685,
790,531479,767628,C16957,C1707,
791,531480,767628,C3607,C1685,
792,531481,767629,C2320,C467,
793,531482,767630,C421,C457,
794,531483,767630,C7312,C706,
795,531484,767631,C3380,C22841,
796,531485,767632,C18250,C1707,
797,531486,767635,C5176,C706,
798,531487,767636,C2492,C457,
799,531488,767637,C8958,C1707,
800,531489,767638,C1327,C706,
801,531490,767641,C17082,C5030,
802,531491,767643,C15001,C1707,
803,531492,767652,C159,C706,
804,531493,767654,C375,C1707,
805,531494,767655,C10430,C5030,
806,531495,767658,C14868,C1685,
807,531496,767658,C16945,C706,
808,531497,767660,C421,C457,
809,531498,767661,C11004,C706,
810,531499,767661,C2683,C706,
811,531500,767662,C2749,C5030,
812,531501,767662,C3380,C22841,
813,531502,767671,C14763,C1707,
814,531503,767672,C19,C1685,
815,531504,767679,C21428,C5030,
816,531505,767681,C1515,C5030,
817,531506,767682,C17269,C1685,
818,531507,767683,C13717,C5030,
819,531508,767683,C1420,C706,
820,531509,767683,C2493,C706,
821,531510,767684,C17552,C2174,
822,531511,767684,C2459,C5030,
823,531512,767686,C2436,C5030,
824,531513,767688,C14053,C706,
825,531514,767691,C15403,C5030,
826,531515,767693,C3380,C22841,
827,531516,767696,C2492,C457,
828,531517,767701,C3616,C5030,
829,531518,767702,C14066,C706,
830,531519,767702,C18184,C18184,
831,531520,767702,C3030,C5030,
832,531521,767703,C15003,C1707,
833,531522,767709,C18250,C586,
834,531523,767711,C2480,C612,
835,531524,767713,C17338,C359,
836,531525,767714,C10951,C1685,
837,531526,767715,C15403,C1707,
838,531527,767715,C15678,C5030,
839,531528,767716,C19622,C1707,
840,531529,767716,C4291,C1944,
841,531530,767723,C18250,C2109,
842,531531,767723,C3380,C22841,
